"bias_V","current_total_A_per_um"
"0","-3.0355642238575972e-14"
"0.02","3.4055941165770656e-13"
"0.040000000000000001","1.1418629942274828e-12"
"0.059999999999999998","2.8734548260550394e-12"
"0.080000000000000002","6.6155079622691762e-12"
"0.10000000000000001","1.4701274062779513e-11"
"0.12000000000000001","3.2168932861743412e-11"
"0.14000000000000001","6.9892705052924717e-11"
"0.16","1.5133069188657898e-10"
"0.17999999999999999","3.2705353701073742e-10"
"0.19999999999999998","7.0598610105587254e-10"
"0.21999999999999997","1.5224648901732834e-09"
"0.23999999999999996","3.2797655699457229e-09"
"0.25999999999999995","7.0558830201986086e-09"
"0.27999999999999997","1.5149708219503062e-08"
"0.29999999999999999","3.2426121267419423e-08"
"0.32000000000000001","6.9035446751206243e-08"
"0.34000000000000002","1.4559777521925038e-07"
"0.36000000000000004","3.0193302307165026e-07"
"0.38000000000000006","6.0803414519019323e-07"
"0.40000000000000008","1.1681009635191271e-06"
"0.4200000000000001","2.099962230023139e-06"
"0.44000000000000011","3.4880035237716306e-06"
"0.46000000000000013","5.3477708792473334e-06"
"0.48000000000000015","7.6348969784972645e-06"
"0.50000000000000011","1.027869734918625e-05"
"0.52000000000000013","1.3208452292732822e-05"
"0.54000000000000015","1.6364460474643995e-05"
"0.56000000000000016","1.9699770000652305e-05"
"0.58000000000000018","2.3178411864141419e-05"
"0.6000000000000002","2.6772963322365837e-05"
"0.62000000000000022","3.0462403218232089e-05"
"0.64000000000000024","3.4230454433921383e-05"
"0.66000000000000025","3.8064362389760717e-05"
"0.68000000000000027","4.195400977194371e-05"
"0.70000000000000029","4.5890954299901569e-05"
"0.72000000000000031","4.9869189820671537e-05"
"0.74000000000000032","5.3883493012596526e-05"
"0.76000000000000034","5.7928578329806982e-05"
"0.78000000000000036","6.2001110681798123e-05"
"0.80000000000000038","6.6097984067197996e-05"
"0.8200000000000004","7.0216599963693709e-05"
"0.82038261136797674","7.029558888365384e-05"
"0.82084165716203683","7.0390366396892571e-05"
"0.82139238599550357","7.0504087099112768e-05"
"0.8220530898400995","7.0640535902819314e-05"
"0.82284565647601404","7.0804245118575877e-05"
"0.82379635444926769","7.1000656991639604e-05"
"0.82493663912056614","7.1236294388626303e-05"
