bias_V,current_total_A_per_um
0,3.07919996334e-18
0.01,4.05113616285e-13
0.0231266666667,1.23875606379e-12
0.0403576044444,3.21725937598e-12
0.0629760821007,8.88662073296e-12
0.0926666037709,2.97303181876e-11
0.131640361883,1.36333528962e-10
0.181640361883,9.37877602662e-10
0.231640361883,6.39223844456e-09
0.281640361883,4.30072838586e-08
0.331640361883,2.76414330118e-07
0.381640361883,1.48405785151e-06
0.431640361883,5.21524991098e-06
0.481640361883,1.17340887837e-05
0.531640361883,2.00315375615e-05
0.581640361883,2.93336986819e-05
0.631640361883,3.92332066159e-05
0.681640361883,4.95142340746e-05
0.731640361883,6.00539101661e-05
0.781640361883,7.07771774023e-05
0.831640361883,8.16354206095e-05
0.881640361883,9.25956318317e-05
0.931640361883,0.000103634534971
0.981640361883,0.000114735206065
1,0.000118824193013
