node_id,donors_cm3,acceptors_cm3
0,1.0000000000000008e+20,0
1,1.0000000000000008e+20,0
2,1.0000000000000008e+20,0
3,0,0
4,0,0
5,0,0
6,1.0000000000000008e+20,0
7,1.0000000000000008e+20,0
8,1.0000000000000008e+20,0
9,1.0000000000000008e+20,0
10,1.0000000000000008e+20,0
11,1.0000000000000008e+20,0
12,0,0
13,0,0
14,1.0000000000000008e+20,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,1.0000000000000008e+20,0
36,1.0000000000000008e+20,0
37,1.0000000000000008e+20,0
38,1.0000000000000008e+20,0
39,1.0000000000000008e+20,0
40,1.0000000000000008e+20,0
41,1.0000000000000008e+20,0
42,1.0000000000000008e+20,0
43,1.0000000000000008e+20,0
44,1.0000000000000008e+20,0
45,1.0000000000000008e+20,0
46,1.0000000000000008e+20,0
47,1.0000000000000008e+20,0
48,1.0000000000000008e+20,0
49,1.0000000000000008e+20,0
50,1.0000000000000008e+20,0
51,1.0000000000000008e+20,0
52,1.0000000000000008e+20,0
53,1.0000000000000008e+20,0
54,1.0000000000000008e+20,0
55,1.0000000000000008e+20,0
56,1.0000000000000008e+20,0
57,1.0000000000000008e+20,0
58,1.0000000000000008e+20,0
59,1.0000000000000008e+20,0
60,1.0000000000000008e+20,0
61,1.0000000000000008e+20,0
62,1.0000000000000008e+20,0
63,1.0000000000000008e+20,0
64,1.0000000000000008e+20,0
65,1.0000000000000008e+20,0
66,1.0000000000000008e+20,0
67,0,0
68,1.0000000000000008e+20,0
69,1.0000000000000008e+20,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,1.5000000000000023e+18
84,0,1.5000000000000023e+18
85,0,1.5000000000000023e+18
86,4.9596886506943019e-15,1.5000000000000023e+18
87,4.959683336084475e-15,1.5000000000000023e+18
88,0,1.5000000000000023e+18
89,0,1.5000000000000023e+18
90,0,1.5000000000000023e+18
91,0,1.5000000000000023e+18
92,4.959595837669609e-15,1.5000000000000023e+18
93,4.9594009275917819e-15,1.5000000000000023e+18
94,0,1.5000000000000023e+18
95,0,1.5000000000000023e+18
96,4.9586889302529762e-15,1.5000000000000023e+18
97,0,1.5000000000000023e+18
98,0,1.5000000000000023e+18
99,4.9575475296477664e-15,1.5000000000000023e+18
100,0,1.5000000000000023e+18
101,0,1.5000000000000023e+18
102,4.9539778202312109e-15,1.5000000000000023e+18
103,0,1.5000000000000023e+18
104,0,1.5000000000000023e+18
105,4.9486955188462177e-15,1.5000000000000023e+18
106,0,1.5000000000000023e+18
107,0,1.5000000000000023e+18
108,4.9330169125603841e-15,1.5000000000000023e+18
109,0,1.5000000000000023e+18
110,0,1.5000000000000023e+18
111,4.910576883693285e-15,1.5000000000000023e+18
112,1.0000000000000008e+20,0
113,1.0000000000000008e+20,0
114,1.0000000000000008e+20,0
115,1.0000000000000008e+20,0
116,1.0000000000000008e+20,0
117,1.0000000000000008e+20,0
118,1.0000000000000008e+20,0
119,1.0000000000000008e+20,0
120,1.0000000000000008e+20,0
121,1.0000000000000008e+20,0
122,1.0000000000000008e+20,0
123,1.0000000000000008e+20,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,35162944.012883924,1.5000000000000023e+18
130,35162451.814533427,1.5000000000000023e+18
131,35154349.297608577,1.5000000000000023e+18
132,35136306.455842473,1.5000000000000023e+18
133,35070469.43621859,1.5000000000000023e+18
134,34965163.917712241,1.5000000000000023e+18
135,34637704.03171099,1.5000000000000023e+18
136,34158334.853444643,1.5000000000000023e+18
137,32771330.913736522,1.5000000000000023e+18
138,30876476.310715802,1.5000000000000023e+18
139,1.0000000000000008e+20,0
140,1.0000000000000008e+20,0
141,1.0000000000000008e+20,0
142,1.0000000000000008e+20,0
143,1.0000000000000008e+20,0
144,1.0000000000000008e+20,0
145,1.0000000000000008e+20,0
146,1.0000000000000008e+20,0
147,1.0000000000000008e+20,0
148,1.0000000000000008e+20,0
149,1.0000000000000008e+20,0
150,1.0000000000000008e+20,0
151,1.0000000000000008e+20,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,2286753467726375.5,1.5000000000000023e+18
158,2286721458566819.5,1.5000000000000023e+18
159,2286194527185074.5,1.5000000000000023e+18
160,2285021146168927.5,1.5000000000000023e+18
161,2280739564033079,1.5000000000000023e+18
162,2273891225067872,1.5000000000000023e+18
163,2252595510193129,1.5000000000000023e+18
164,2221420670841791.8,1.5000000000000023e+18
165,2131219575401218.5,1.5000000000000023e+18
166,2007991402791226.5,1.5000000000000023e+18
167,1.0000000000000008e+20,0
168,1.0000000000000008e+20,0
169,1.0000000000000008e+20,0
170,1.0000000000000008e+20,0
171,1.0000000000000008e+20,0
172,1.0000000000000008e+20,0
173,0,0
174,1.0000000000000008e+20,0
175,1.0000000000000008e+20,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,7.9831331894750515e+17,1.5000000000000023e+18
186,7.9830214444235507e+17,1.5000000000000023e+18
187,3.4359912601793094e+19,1.5000000000000023e+18
188,3.4359431643989672e+19,1.5000000000000023e+18
189,7.9811819092652787e+17,1.5000000000000023e+18
190,7.9770855967129613e+17,1.5000000000000023e+18
191,3.4351514167759974e+19,1.5000000000000023e+18
192,3.4333883378200707e+19,1.5000000000000023e+18
193,7.9621384496179392e+17,1.5000000000000023e+18
194,3.4269549907163521e+19,1.5000000000000023e+18
195,7.9382306681899725e+17,1.5000000000000023e+18
196,3.4166649296479887e+19,1.5000000000000023e+18
197,7.8638866120381478e+17,1.5000000000000023e+18
198,3.3846667753993634e+19,1.5000000000000023e+18
199,7.755054200405399e+17,1.5000000000000023e+18
200,3.337824613766964e+19,1.5000000000000023e+18
201,7.4401591455158144e+17,1.5000000000000023e+18
202,3.2022917808811524e+19,1.5000000000000023e+18
203,7.0099654545363981e+17,1.5000000000000023e+18
204,3.0171336822616367e+19,1.5000000000000023e+18
205,1.0000000000000008e+20,0
206,0,0
207,1.0000000000000008e+20,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,1.0000000000000008e+20,0
216,0,0
217,1.0000000000000008e+20,0
218,0,0
219,0,0
220,0,0
221,0,0
222,1.0000000000000008e+20,0
223,1.0000000000000008e+20,0
224,0,0
225,1.0000000000000008e+20,0
226,1.0000000000000008e+20,0
227,0,0
228,1.0000000000000008e+20,0
229,1.0000000000000008e+20,0
230,0,0
231,0,0
232,0,0
233,0,0
234,1.0000000000000008e+20,0
235,1.0000000000000008e+20,0
236,1.0000000000000008e+20,0
237,1.0000000000000008e+20,0
238,0,0
239,1.0000000000000008e+20,0
240,0,0
241,1.0000000000000008e+20,0
242,0,0
243,1.0000000000000008e+20,0
