node_id,donors_cm3,acceptors_cm3
0,10000000000000034,0
1,10000000000000034,0
2,10000000000000034,0
3,10000000000000034,0
4,10000000000000034,0
5,10000000000000034,0
6,10000000000000034,0
7,10000000000000034,0
8,10000000000000034,0
9,10000000000000034,0
10,10000000000000034,0
11,10000000000000034,0
12,10000000000000034,0
13,10000000000000034,0
14,10000000000000034,0
15,10000000000000034,0
16,10000000000000034,0
17,10000000000000034,0
18,10000000000000034,0
19,10000000000000034,0
20,10000000000000034,0
21,10000000000000034,0
22,10000000000000034,0
23,10000000000000034,0
24,10000000000000034,0
25,10000000000000034,0
26,10000000000000034,0
27,10000000000000034,0
28,10000000000000034,0
29,10000000000000034,0
30,10000000000000034,0
31,10000000000000034,0
32,10000000000000034,0
33,10000000000000034,0
34,10000000000000034,0
35,10000000000000034,0
36,10000000000000034,0
37,10000000000000034,0
38,10000000000000034,0
39,10000000000000034,0
40,10000000000000034,0
41,10000000000000034,0
42,10000000000000034,0
43,10000000000000034,0
44,10000000000000034,0
45,10000000000000034,0
46,10000000000000034,0
47,10000000000000034,0
48,10000000000000034,0
49,10000000000000034,0
50,10000000000000034,0
51,10000000000000034,0
52,10000000000000034,0
53,10000000000000034,0
54,10000000000000034,0
55,10000000000000034,0
56,10000000000000034,0
57,10000000000000034,0
58,10000000000000034,0
59,10000000000000034,0
60,10000000000000034,0
61,10000000000000034,0
62,10000000000000034,0
63,10000000000000034,0
64,10000000000000034,0
65,10000000000000034,0
66,10000000000000034,0
67,10000000000000034,0
68,10000000000000034,0
69,10000000000000034,0
70,10000000000000034,0
71,10000000000000034,0
72,10000000000000034,0
73,10000000000000034,0
74,10000000000000034,0
75,10000000000000034,0
76,10000000000000034,0
77,10000000000000034,0
78,10000000000000034,0
79,10000000000000034,0
80,10000000000000034,0
81,10000000000000034,0
82,10000000000000034,0
83,10000000000000034,0
84,10000000000000034,0
85,10000000000000034,0
86,10000000000000034,0
87,10000000000000034,0
88,10000000000000034,0
89,10000000000000034,0
90,10000000000000034,0
91,10000000000000034,0
92,10000000000000034,0
93,10000000000000034,0
94,10000000000000034,0
95,10000000000000034,0
96,10000000000000034,0
97,10000000000000034,0
98,10000000000000034,0
99,10000000000000034,0
100,10000000000000034,0
101,10000000000000034,0
102,10000000000000034,0
103,10000000000000034,0
104,10000000000000034,0
105,10000000000000034,0
106,10000000000000034,0
107,10000000000000034,0
108,10000000000000034,0
109,10000000000000034,0
110,10000000000000034,0
111,10000000000000034,0
112,10000000000000034,0
113,10000000000000034,0
114,10000000000000034,0
115,10000000000000034,0
116,10000000000000034,0
117,10000000000000034,0
118,10000000000000034,0
119,10000000000000034,0
120,10000000000000034,0
121,10000000000000034,0
122,10000000000000034,0
123,10000000000000034,0
124,10000000000000034,0
125,10000000000000034,0
126,10000000000000034,0
127,10000000000000034,0
128,10000000000000034,0
129,10000000000000034,0
130,10000000000000034,0
131,10000000000000034,0
132,10000000000000034,0
133,10000000000000034,0
134,10000000000000034,0
135,10000000000000034,0
