inner_voltage_V,outer_voltage_V,drain_total_current_A_per_um,phi_electron,phi_hole,integrated_avalanche_generation_per_s_um,avalanche_current_A_per_um
0.0,0.0,-7.8698104531797e-22,,,,
0.0,0.0,-1.95040835842194e-21,,,,
0.012,0.012,9.87559676875102e-10,,,,
0.02728,0.02728,1.68215793465903e-09,,,,
0.0471541866666667,0.0471541866666667,2.08672146899847e-09,,,,
0.0724606510222222,0.0724606510222222,2.26069632675406e-09,,,,
0.104684215634963,0.104684215634963,2.31926510616668e-09,,,,
0.144834777142438,0.144834777142438,2.34443626252721e-09,,,,
0.194862376780752,0.194862376780752,2.38767994141692e-09,,,,
0.257196765930091,0.257196765930091,2.44713266465319e-09,,,,
0.334865414810167,0.334865414810167,2.51263724275006e-09,,,,
0.429517608245354,0.429517608245354,2.59413355529926e-09,,,,
0.544867081311701,0.544867081311701,2.6977496127265e-09,,,,
0.685439639155222,0.685439639155222,2.83305953536573e-09,,,,
0.835439639155222,0.835439639155222,2.9917266572496e-09,,,,
0.985439639155222,0.985439639155222,3.16997922721545e-09,,,,
1.13543963915522,1.13543963915522,3.36606989334421e-09,,,,
1.28543963915522,1.28543963915522,3.57752587801831e-09,,,,
1.43543963915522,1.43543963915522,3.80398919759716e-09,,,,
1.58543963915522,1.58543963915522,4.05344523779788e-09,,,,
1.73543963915522,1.73543963915522,4.32935974059238e-09,,,,
1.88543963915522,1.88543963915522,4.64605283662305e-09,,,,
2.03543963915522,2.03543963915522,5.04580505603498e-09,,,,
2.18543963915522,2.18543963915522,5.62836073279e-09,,,,
2.33543963915522,2.33543963915522,6.60007226401604e-09,,,,
2.48543963915522,2.48543963915522,8.34629169667356e-09,,,,
2.63543963915522,2.63543963915522,1.1480350440218e-08,,,,
2.78543963915522,2.78543963915522,1.68526793282131e-08,,,,
2.93543963915522,2.93543963915522,2.56206285633868e-08,,,,
3.08543963915522,3.08543963915522,3.97345263158373e-08,,,,
3.23543963915522,3.23543963915522,6.23821725083177e-08,,,,
3.38543963915522,3.38543963915522,9.82296169149366e-08,,,,
3.53543963915522,3.53543963915522,1.54183934654145e-07,,,,
3.68543963915522,3.68543963915522,2.40179093271278e-07,,,,
3.83543963915522,3.83543963915522,3.70236808181652e-07,,,,
3.98543963915522,3.98543963915522,5.63902111252095e-07,,,,
4.13543963915522,4.13543963915522,8.48070398196051e-07,,,,
4.28543963915522,4.28543963915522,1.25921185093968e-06,,,,
4.43543963915522,4.43543963915522,1.8458594730918e-06,,,,
4.58543963915522,4.58543963915522,2.67058400895815e-06,,,,
4.73543963915523,4.73543963915523,3.80918326941393e-06,,,,
4.88543963915522,4.88543963915522,5.3383094943984e-06,,,,
5.03543963915522,5.03543963915522,7.2864715168252e-06,,,,
5.18543963915523,5.18543963915523,9.58030452856679e-06,,,,
5.33543963915523,5.33543963915523,1.2270852854856e-05,,,,
5.48543963915523,5.48543963915523,1.56196495388696e-05,,,,
5.63543963915523,5.63543963915523,1.99257555775536e-05,,,,
5.78543963915523,5.78543963915523,2.56300360317364e-05,,,,
5.93543963915523,5.93543963915523,3.34901389829493e-05,,,,
6.0,6.0,3.78527271758445e-05,,,,
6.0,6.0,3.78527271758445e-05,,,,
6.00190864017556,6.00190864017556,3.79932419031106e-05,,,,
6.00453160088763,6.00453160088763,3.81875269338454e-05,,,,
6.00812792521109,6.00812792521109,3.8456158371051e-05,,,,
6.01304327671004,6.01304327671004,3.88275860967111e-05,,,,
6.01973250703419,6.01973250703419,3.93411468377119e-05,,,,
6.02878249434936,6.02878249434936,4.00512301556022e-05,,,,
6.04092951770449,6.04092951770449,4.10330386898052e-05,,,,
6.05706031148885,6.05706031148885,4.23905526230964e-05,,,,
6.07817918121557,6.07817918121557,4.42675418881934e-05,,,,
6.10531613544239,6.10531613544239,4.68627923787287e-05,,,,
6.13934727057331,6.13934727057331,5.04511587236576e-05,,,,
6.17994373731465,6.17994373731465,5.5314591243142e-05,,,,
6.22662865805822,6.22662865805822,6.19061634512165e-05,,,,
6.27698600992216,6.27698600992216,7.06597713435394e-05,,,,
6.32855115513583,6.32855115513583,8.22845626245442e-05,,,,
6.37815270307051,6.37815270307051,9.77222854457188e-05,,,,
6.42064392749404,6.42064392749404,0.000116957688080902,,,,
6.45658934343281,6.45658934343281,0.000140924999764341,,,,
6.4888504979017,6.4888504979017,0.000171443376641253,,,,
6.52085038889167,6.52085038889167,0.000211137612165822,,,,
6.55560539769384,6.55560539769384,0.000262766581171446,,,,
6.5962737499439,6.5962737499439,0.000329918660191419,,,,
6.63664036435455,6.63664036435455,0.000400176023832635,,,,
6.676089508269,6.676089508269,0.000470433387473843,,,,
6.71515530356181,6.71515530356181,0.00054069075111505,,,,
6.75407712753755,6.75407712753755,0.000610948114756259,,,,
6.79295934197023,6.79295934197023,0.000681205478397466,,,,
6.8318398980909,6.8318398980909,0.000751462842038674,,,,
6.87071949684019,6.87071949684019,0.000821720205679882,,,,
6.9095738292579,6.9095738292579,0.00089197756932109,,,,
6.94835727261414,6.94835727261414,0.000962234932962298,,,,
6.98702805810356,6.98702805810356,0.00103249229660351,,,,
7.02553766707776,7.02553766707776,0.00110274966024471,,,,
7.06370130174219,7.06370130174219,0.00117300702388592,,,,
7.10124211422073,7.10124211422073,0.00124326438752713,,,,
7.13758235719793,7.13758235719793,0.00131352175116834,,,,
7.1712161333185,7.1712161333185,0.00138377911480951,,,,
7.1930514986477,7.1930514986477,0.001443,,,,
