inner_voltage_V,outer_voltage_V,drain_total_current_A_per_um,phi_electron,phi_hole,integrated_avalanche_generation_per_s_um,avalanche_current_A_per_um
0.0,0.0,-7.8698104531797e-22,,,,
0.0,0.0,-1.95069853587219e-21,,,,
0.00514207849721396,0.01,4.85792148455299e-10,,,,
0.0123601370933357,0.02246,1.00998628782185e-09,,,,
0.0232411509774178,0.0386663066666667,1.5425155568857e-09,,,,
0.039927794889584,0.0597453095377778,1.98175146481462e-09,,,,
0.0632285756786568,0.0854335877033718,2.22050118598108e-09,,,,
0.0950526596699279,0.118143328567562,2.30906686284355e-09,,,,
0.136399306524953,0.15979373193463,2.33944253610844e-09,,,,
0.187883204046574,0.211690134529997,2.3806930483396e-09,,,,
0.250521975247117,0.274934550492885,2.4412575088788e-09,,,,
0.328663535543959,0.353737092782642,2.50735572386781e-09,,,,
0.423878941283618,0.44977112431976,2.5892183030059e-09,,,,
0.539873244311457,0.566804597419661,2.69313531081875e-09,,,,
0.681141955666752,0.709429389970741,2.82874343039082e-09,,,,
0.85312553860388,0.88324147049299,3.01159318891095e-09,,,,
1.06237267797836,1.09506045928944,3.26877813110816e-09,,,,
1.31696405134568,1.35319720030271,3.62331489570304e-09,,,,
1.60572210171041,1.64661262925446,4.08905275440516e-09,,,,
1.94035695534102,1.9881481885543,4.77912332132723e-09,,,,
2.30357265575799,2.36702496900425,6.34523132462587e-09,,,,
2.67217061797789,2.7976815761157,1.25510958137805e-08,,,,
2.99479455751838,3.29896586679342,3.04171309275042e-08,,,,
3.24805922013963,3.89616255175415,6.48103331614526e-08,,,,
3.44572775840004,4.62394624515963,1.17821848675959e-07,,,,
3.60651084686886,5.51087197285643,1.90436112598757e-07,,,,
3.74136959913959,6.56749615645256,2.82612655731298e-07,,,,
3.86673483163882,7.91293095023163,4.04619611859281e-07,,,,
3.98331628425973,9.58934270328035,5.60602641902062e-07,,,,
4.09814664913509,11.7697955900791,7.67164894094396e-07,,,,
4.21202565591302,14.6058379781752,1.03938123222622e-06,,,,
4.27136019888243,16.4114516319298,1.21400914330474e-06,,,,
4.33807688328168,18.7599531242466,1.44218762409649e-06,,,,
4.41200078437082,21.8145707319199,1.74025699475491e-06,,,,
4.49284384181015,25.7876100336337,2.12947661918236e-06,,,,
4.58028415767613,30.9552098187295,2.63749256610533e-06,,,,
4.67407810702622,37.6765346058774,3.30024564988512e-06,,,,
4.77421673298093,46.418737712361,4.16445209793801e-06,,,,
4.88133620750783,57.7894298861941,5.29080936786864e-06,,,,
4.99758737833471,72.5789101736264,6.75813227952917e-06,,,,
5.12822440784663,91.8150942008133,8.66868697929668e-06,,,,
5.27678585097372,116.834957558841,1.11558171707867e-05,,,,
5.43462199223061,149.377459833182,1.43942837840952e-05,,,,
5.59373188517067,191.704407791343,1.86110675906172e-05,,,,
5.74945258403763,246.757658102256,2.41008205518219e-05,,,,
5.89766838605175,318.363585673318,3.12465917287266e-05,,,,
6.03496087042555,411.499028800745,4.05464067930319e-05,,,,
6.15841031870843,532.637195161819,5.2647878484311e-05,,,,
6.26504077467192,690.197570208789,6.83932529393145e-05,,,,
6.35191923117655,895.131098019881,8.88779178788704e-05,,,,
6.41589427390251,1150.4782736725,0.00011440623793986,,,,
6.46297905282173,1468.64085453567,0.000146217787548285,,,,
6.50133205934083,1865.07143029117,0.000185857009823183,,,,
6.53768309189609,2359.02392768253,0.000235248624459064,,,,
6.57659846988536,2974.48873943216,0.000296791214096182,,,,
6.62433415808009,3791.82600943568,0.00037852016752776,,,,
6.68411098768663,4854.90935195358,0.000484822524096589,,,,
6.7591878085686,6208.56880809304,0.000620180962028447,,,,
6.83409599006626,7562.2282642325,0.000755539416824244,,,,
6.92941418966753,9285.88797171675,0.000927895855752709,,,,
7.04982638766071,11480.68133258,0.00114736315061924,,,,
7.17708129461766,13980.68133258,0.00139735042512854,,,,
7.19529377007974,14605.68133258,0.00145984860388099,,,,
