inner_voltage_V,outer_voltage_V,drain_total_current_A_per_um,phi_electron,phi_hole,integrated_avalanche_generation_per_s_um,avalanche_current_A_per_um
0.0,0.0,-7.8698104531797e-22,0.116936565032382,0.0263472572977306,1661600894.4914,2.6621781281876203e-22
0.0,0.0,-1.9504745400901e-21,0.0822345622123182,0.0325332644426962,5275927696.05783,8.452968077297308e-22
0.01,0.01,8.56345044698668e-10,0.0377870822956076,0.0115560807462919,3409643285592160.0,5.462850802450747e-16
0.0230066666666667,0.0230066666666667,1.53357538449982e-09,0.0394428493172171,0.0122053679352079,6987172670569680.0,1.119468479051012e-15
0.0409905511111111,0.0409905511111111,1.99960834038381e-09,0.041780066397706,0.0131334441093232,1.2341566987565e+16,1.977337025442241e-15
0.0653647091614815,0.0653647091614815,2.23148664018441e-09,0.0375591145912197,0.0104900309919019,2.57436989262271e+16,4.124595289233194e-15
0.0983998180390834,0.0983998180390834,2.31302076020033e-09,0.0414710023798757,0.0119313539117403,7.65546040012596e+16,1.2265399775594102e-14
0.143173402271193,0.143173402271193,2.34335969400001e-09,0.0470379001230927,0.0139989770320828,3.1677828862059e+17,5.0753477218641733e-14
0.202632722131435,0.202632722131435,2.39526028215139e-09,0.0565774319225244,0.0170997195895043,1.5048973828212e+18,2.4111114233238795e-13
0.281594698905836,0.281594698905836,2.46663654421015e-09,0.0707312447906242,0.0216041574332099,7.74242983369672e+18,1.240474016993339e-12
0.384297910030408,0.384297910030408,2.54922296295214e-09,0.0947079837845927,0.0283910741741565,3.61184242975015e+19,5.786809546635476e-12
0.517880553299767,0.517880553299767,2.65170993218324e-09,0.127142776970288,0.0383708627465159,1.31677469297862e+20,2.1097056453328687e-11
0.687975785729417,0.687975785729417,2.77575043314214e-09,0.158002489885845,0.05306158448239,3.67732176430129e+20,5.891719006463182e-11
0.899914445336761,0.899914445336761,2.92428363815822e-09,0.195647737211993,0.0787835775878877,8.52381549430344e+20,1.365665801750013e-10
1.16399001520751,1.16399001520751,3.10477362805557e-09,0.232841373870417,0.106523656916896,1.75338343659049e+21,2.809229972547904e-10
1.33211812802522,1.33211812802522,3.21765272125551e-09,0.258183051575543,0.125637041007,2.43795841484717e+21,3.906040006931814e-10
1.54620125834644,1.54620125834644,3.36106595402712e-09,0.290250218296812,0.151081849359922,3.43439750826497e+21,5.502511439609956e-10
1.8188004442888,1.8188004442888,3.55737235317962e-09,0.325661630368857,0.182626527813064,4.91430654173213e+21,7.873587113476564e-10
2.15845902997297,2.15845902997297,3.99985587555464e-09,0.375434378157579,0.224357213470779,7.30773193242369e+21,1.1708277349664902e-09
2.57238962639341,2.57238962639341,6.57435080333468e-09,0.462242923197156,0.274863800705459,1.48730638430063e+22,2.382927536525493e-09
3.08814714953328,3.08814714953328,2.41713574251136e-08,0.532539248401984,0.350951852434077,6.27082133642623e+22,1.0046963421210758e-08
3.64619678957063,3.64619678957063,1.11276980822868e-07,0.616797297598468,0.444119042706677,3.48111127793722e+23,5.577355149864894e-08
4.25000650009103,4.25000650009103,4.70175179523444e-07,0.712319259441596,0.561471296647649,1.8177046622696e+24,2.9122839374012144e-07
5.00235339939946,5.00235339939946,1.94176430251709e-06,0.814286248211598,0.71893592592669,9.14026679029919e+24,1.4644321879943539e-06
5.93977763593775,5.93977763593775,5.93770134615148e-06,0.981863510255473,0.928392030627654,3.20873862931555e+25,5.140966056502562e-06
7.10780823466447,7.10780823466447,1.81718433019858e-05,1.17659705770505,1.17177786302946,1.21716707896105e+26,1.950116653585427e-05
8.59510053037649,8.59510053037649,5.49737560566516e-05,1.42956185179365,1.48087268982555,4.63641828883784e+26,7.428361047826249e-05
10.4482667308337,10.4482667308337,0.000133715623316762,1.71544573776015,1.90118729926312,1.3427120952371e+27,0.0002151261945178064
