inner_voltage_V,outer_voltage_V,drain_total_current_A_per_um,phi_electron,phi_hole,integrated_avalanche_generation_per_s_um,avalanche_current_A_per_um
0.0,0.0,-7.8698104531797e-22,,,,
0.0,0.0,-1.95040835842194e-21,,,,
0.0,-1.95040835842194e-24,1.22268948827665e-21,,,,
0.0999999999976853,0.1,2.31475600257519e-09,,,,
0.149999999997652,0.149999999997652,2.34780083201963e-09,,,,
0.220499999997587,0.220499999997587,2.41324198210287e-09,,,,
0.3199049999975,0.3199049999975,2.49993354945897e-09,,,,
0.460066049997379,0.460066049997379,2.62099148621623e-09,,,,
0.558879590247289,0.558879590247289,2.71076072023231e-09,,,,
0.698206681999654,0.698206681999654,2.84595363781127e-09,,,,
0.894657881370465,0.894657881370465,3.05941256706816e-09,,,,
1.17165407248325,1.17165407248325,3.41582483192102e-09,,,,
1.56221870195219,1.56221870195219,4.01325623529767e-09,,,,
2.11291482950293,2.11291482950293,5.31419040639067e-09,,,,
2.88939636933416,2.88939636933416,2.24742293040024e-08,,,,
3.16310611210304,3.16310611210304,5.01440821116982e-08,,,,
3.16459344900156,3.16459344900156,5.03691490614476e-08,,,,
3.16668609990978,3.16668609990978,5.06875798810016e-08,,,,
3.16962788255153,3.16962788255153,5.11387339237893e-08,,,,
3.17375841019046,3.17375841019046,5.17791873020172e-08,,,,
3.17954848333194,3.17954848333194,5.2690879742682e-08,,,,
3.18764655334107,3.18764655334107,5.39937167518905e-08,,,,
3.19893800161387,3.19893800161387,5.58656234530573e-08,,,,
3.21461787086806,3.21461787086806,5.85755658350377e-08,,,,
3.23627543276935,3.23627543276935,6.25401050960039e-08,,,,
3.26598595637044,3.26598595637044,6.84246668384288e-08,,,,
3.30640231253239,3.30640231253239,7.73338983130926e-08,,,,
3.36084238617931,3.36084238617931,9.11891261862326e-08,,,,
3.43338319507589,3.43338319507589,1.1352171433569e-07,,,,
3.52901043139091,3.52901043139091,1.51252769574689e-07,,,,
3.65390700461668,3.65390700461668,2.18985509567869e-07,,,,
3.81594736867079,3.81594736867079,3.5022091218372e-07,,,,
3.97515474993952,3.97515474993952,5.48086239893041e-07,,,,
4.13296510001079,4.13296510001079,8.42467782555324e-07,,,,
4.29026626577193,4.29026626577193,1.27505915135657e-06,,,,
4.44774641314693,4.44774641314693,1.90360580344673e-06,,,,
4.60628165018903,4.60628165018903,2.80816860912895e-06,,,,
4.76757208622683,4.76757208622683,4.10165651364978e-06,,,,
4.99422807187833,4.99422807187833,6.71235199470483e-06,,,,
5.27391366694712,5.27391366694712,1.11035184712305e-05,,,,
5.61117969829749,5.61117969829749,1.91488505212974e-05,,,,
5.90095432600489,5.90095432600489,3.14337624329832e-05,,,,
6.26724134716047,6.26724134716047,6.88008957279279e-05,,,,
6.28118742866894,6.28118742866894,7.14895842095248e-05,,,,
6.29424287020966,6.29424287020966,7.41864233914841e-05,,,,
6.31123384149801,6.31123384149801,7.79950936482433e-05,,,,
6.33263811112946,6.33263811112946,8.33655532494866e-05,,,,
6.35841728639392,6.35841728639392,9.09084876514998e-05,,,,
6.38768465551777,6.38768465551777,0.00010142156083619,,,,
6.64592710462817,6.64592710462817,0.000416616919672651,,,,
6.6531632774699,6.6531632774699,0.000429476090176886,,,,
6.66391185009925,6.66391185009925,0.000448642393145416,,,,
6.68026728716575,6.68026728716575,0.000477924509489681,,,,
6.70608387122306,6.70608387122306,0.00052434256584451,,,,
6.74921718788244,6.74921718788244,0.000602169244144653,,,,
6.82802409632072,6.82802409632072,0.00074456798192413,,,,
6.99333184481532,6.99333184481532,0.00104396372131579,,,,
7.191043978975,7.191043978975,0.00143538475305123,,,,
7.19400998419034,7.19400998419034,0.0014680183359934,,,,
